entity_id,name,domain,stress_score,logistic_score,viability_score
ncbi_gene_4344923,LOC4344923,biology,0.4518210725847937,0.49971686470123383,0.47576895
ncbi_gene_4344894,LOC4344894,biology,0.13575595734946955,0.8450056725745544,0.49038082
ncbi_gene_4344874,LOC4344874,biology,0.09205804518558339,1.0,0.54602903
ncbi_gene_4344858,GLYI-11,biology,0.29950439329975187,0.659501573835048,0.47950298
ncbi_gene_4344785,LOC4344785,biology,0.3970068517285304,0.5381142147559843,0.46756053
ncbi_gene_4344738,LOC4344738,biology,0.15849971308955296,0.8450056725745544,0.5017527
ncbi_gene_4344728,LOC4344728,biology,0.22970985213892403,0.7346180349749627,0.48216394
ncbi_gene_4344703,LOC4344703,biology,0.06914292791265714,1.0,0.53457147
ncbi_gene_4344702,LOC4344702,biology,0.15612750197743971,0.8450056725745544,0.5005666
ncbi_gene_4344697,OsSPO11B,biology,0.1293399070930052,0.8450056725745544,0.48717278
ncbi_gene_4344620,LOC4344620,biology,0.2493695950794581,0.6859587270755693,0.46766415
ncbi_gene_4344594,LOC4344594,biology,0.1391764744184604,0.8450056725745544,0.49209106
ncbi_gene_4344590,60SP0,biology,0.391389812143366,0.5530959212008211,0.47224286
ncbi_gene_4344564,LOC4344564,biology,0.24771352134177238,0.6999474665117343,0.4738305
ncbi_gene_4344541,LOC4344541,biology,0.08859030123340643,1.0,0.54429513
ncbi_gene_4344508,LOC4344508,biology,0.2904077087808927,0.665587703782956,0.47799772
ncbi_gene_4344493,LOC4344493,biology,0.07084252164960408,1.0,0.53542125
ncbi_gene_4344480,LOC4344480,biology,0.22471946314123126,0.7389569565345504,0.4818382
ncbi_gene_4345268,LOC4345268,biology,0.1984296848660139,0.7534656866373175,0.47594768
ncbi_gene_4345272,LOC4345272,biology,0.1240447707918172,0.8599907001019863,0.49201775
ncbi_gene_4345279,RPL7A-1,biology,0.0778726638692255,1.0,0.5389363
ncbi_gene_4345925,LOC4345925,biology,0.09227339356834108,1.0,0.5461367
ncbi_gene_4346134,LOC4346134,biology,0.18203460650262313,0.8114492670591358,0.49674195
ncbi_gene_4346129,LOC4346129,biology,0.0801292577396557,1.0,0.54006463
ncbi_gene_4346125,LOC4346125,biology,0.21740504043255146,0.7443196268161365,0.48086232
ncbi_gene_4346016,LOC4346016,biology,0.4518210725847937,0.49971686470123383,0.47576895
ncbi_gene_4345998,LOC4345998,biology,0.2463928157373082,0.7160188561061768,0.48120585
ncbi_gene_4345993,LOC4345993,biology,0.18587138868097464,0.8114492670591358,0.49866033
ncbi_gene_4345969,LOC4345969,biology,0.26058587498948055,0.665587703782956,0.46308678
ncbi_gene_4345945,LOC4345945,biology,0.09077702114762826,1.0,0.5453885
